model,dataset,target,method,n,n_pos,pos_rate,auroc,auroc_ci_low,auroc_ci_high,auprc,auprc_ci_low,auprc_ci_high,prr,prr_ci_low,prr_ci_high
internvl,vilp,hallucination_given_error,semantic_entropy,344,188,0.5465116279069767,0.4837868248772504,0.4187910925699677,0.5446912811719209,0.5664075072931145,0.4902960087535894,0.6436967325381212,-0.07175841647493715,-0.21277792084730418,0.06755124789599863
internvl,vilp,hallucination_given_error,umpire,344,188,0.5465116279069767,0.4413188761593017,0.38144177779922306,0.500903454379937,0.511735630312475,0.448305094089782,0.5858491436535296,-0.12838653413724566,-0.26567409727535846,0.015339396316869218
internvl,hallusionbench,error,perplexity,1126,326,0.2895204262877442,0.707777990797546,0.6735374286740025,0.7412170778735658,0.4800945336159316,0.4339307388006426,0.5306129073991043,0.49907220199386215,0.4069056090285484,0.5861632465199524
internvl,hallusionbench,error,semantic_entropy,1126,326,0.2895204262877442,0.7459240797546012,0.7129711988582759,0.7773987818829923,0.5010186424646972,0.4397841412031171,0.561916463364516,0.5754429371446548,0.5069758085339476,0.6396175300869423
internvl,hallusionbench,error,umpire,1126,326,0.2895204262877442,0.6740835889570552,0.6349481343446269,0.7122473164450337,0.4166061289408176,0.369174865337105,0.4721094568531448,0.49778207513628225,0.4121441149183795,0.5752503357266896
internvl,hallusionbench,hallucination,perplexity,1126,435,0.38632326820603907,0.6403213733220221,0.5946842471998498,0.6848311836947304,0.497197895164576,0.4349742857351801,0.5707361073074984,0.39735329969629635,0.2939252799313882,0.4987348688870062
internvl,hallusionbench,hallucination,semantic_entropy,1126,435,0.38632326820603907,0.6856995525392152,0.6472605616917632,0.7220404788893987,0.5268258451927674,0.46754151876592875,0.5869121662229799,0.4170990501881906,0.3345873511269447,0.4965583659961464
internvl,hallusionbench,hallucination,umpire,1126,435,0.38632326820603907,0.6610576043382071,0.6158612122564375,0.7012062199158225,0.47865222207284885,0.42356103808399187,0.5513953749861956,0.484649433049642,0.39203899252731805,0.5645042671717494
internvl,hallusionbench,hallucination_given_error,perplexity,326,257,0.7883435582822086,0.4515310438166131,0.3637913015116708,0.5391345568342002,0.7567944427529307,0.6681173313778045,0.8466289585785401,-0.08044506063571731,-0.20772547337181652,0.06545690909382992
internvl,hallusionbench,hallucination_given_error,semantic_entropy,326,257,0.7883435582822086,0.5350476512716404,0.4557986033241135,0.6120431944019188,0.7944143090509573,0.7178591584829431,0.8643375670436031,0.08874775420228374,-0.043877238861897684,0.22511497856018006
internvl,hallusionbench,hallucination_given_error,umpire,326,257,0.7883435582822086,0.44606101618451477,0.36271040488210504,0.5390805556849736,0.7481833851499802,0.660552659512022,0.8445289037440895,-0.018848741796239167,-0.183096703361951,0.15261111595242458
internvl,mmvet,error,perplexity,216,97,0.44907407407407407,0.7239019319067833,0.6543056470423513,0.7905016524153521,0.6469492743238913,0.5474962121423672,0.7477198186800204,0.561760003883575,0.41931457169683845,0.6806224012694397
internvl,mmvet,error,semantic_entropy,216,97,0.44907407407407407,0.8474833232261977,0.7895728986297649,0.8986401659024933,0.8176174281700341,0.733705507095634,0.8854412542321101,0.7190616828352668,0.5890993943137847,0.8315405397547706
internvl,mmvet,error,umpire,216,97,0.44907407407407407,0.8280343065061075,0.7650112629398842,0.8857940227997763,0.7656658261521456,0.6673578564789645,0.8540449208418103,0.6907019980971594,0.5289965827657485,0.8208979880428854
internvl,mmvet,hallucination,perplexity,216,57,0.2638888888888889,0.6317996248482842,0.5442686127130175,0.7097277462121212,0.38751117432218984,0.2859666419790383,0.5087524131267183,0.3913627978622241,0.19798024570031358,0.5523802019961986
internvl,mmvet,hallucination,semantic_entropy,216,57,0.2638888888888889,0.7793776895067859,0.7061926135732448,0.8446771469689849,0.544345805099831,0.4269389460440923,0.6774900983905849,0.6669967366838575,0.5214263450312633,0.7894396199326004
internvl,mmvet,hallucination,umpire,216,57,0.2638888888888889,0.719849939313693,0.6453042277359158,0.778602775149564,0.38698244964533,0.30428532049922674,0.5029360563452859,0.6068745884240213,0.4718818294367557,0.7109441046904494
internvl,mmvet,hallucination_given_error,perplexity,97,50,0.5154639175257731,0.4697872340425532,0.35721835075493613,0.5849592624356774,0.5426430161607283,0.4153695372946072,0.6789162751199637,-0.11214687716977707,-0.39240295930836955,0.14978087629201478
internvl,mmvet,hallucination_given_error,semantic_entropy,97,50,0.5154639175257731,0.6374468085106383,0.5289791371466925,0.7402258199220813,0.6325512259955145,0.5031863736402559,0.7767830618285552,0.3803084021898465,0.12727428562625534,0.5747276129643681
internvl,mmvet,hallucination_given_error,umpire,97,50,0.5154639175257731,0.4736170212765957,0.35585391140571376,0.5820468090959104,0.47334771415735677,0.37518289678822037,0.6037316370004883,0.06721670924934639,-0.22997749410363352,0.3018019546855065
