model,dataset,method,target,score_direction,n,positive_n,positive_rate,auroc,auroc_ci_low,auroc_ci_high,bootstrap_undefined,auprc,auprc_random_baseline,prr,rank_biserial,tail_n,bottom20_rate,top20_rate,top20_lift_vs_prevalence,top_vs_bottom_risk_ratio,top_minus_bottom
qwen,vilp,perplexity,error,risk=UQ,896,293,0.32700892857142855,0.6068746144137107,0.5707106105429326,0.6453347395868916,0,0.4445393474075499,0.32700892857142855,0.26466341535260113,0.21374922882742142,180,0.20555555555555555,0.49444444444444446,1.5120212362533183,2.4054054054054057,0.2888888888888889
qwen,vilp,perplexity,correct,confidence=-UQ,896,603,0.6729910714285714,0.6068746144137107,0.5682844914809302,0.6467568578373148,0,0.7496395337848968,0.6729910714285714,0.24864818905604275,0.21374922882742142,180,0.5055555555555555,0.7944444444444444,1.180468030219274,1.5714285714285714,0.28888888888888886
qwen,vilp,perplexity,hallucination,risk=UQ,896,179,0.19977678571428573,0.5047178264494363,0.45555536830166066,0.5443441919676761,0,0.2070816544807521,0.19977678571428573,0.06756246400642892,0.009435652898872604,180,0.16111111111111112,0.2111111111111111,1.0567349472377405,1.3103448275862069,0.04999999999999999
qwen,vilp,perplexity,hallucination_given_error,risk=UQ,293,134,0.45733788395904434,0.3732751337651366,0.3082374437488157,0.43938364935008156,0,0.38891279881317087,0.45733788395904434,-0.3007650963667113,-0.2534497324697268,59,0.576271186440678,0.3559322033898305,0.778269668606122,0.6176470588235294,-0.22033898305084748
qwen,vilp,semantic_entropy,error,risk=UQ,896,293,0.32700892857142855,0.6500263189173586,0.6140021356963032,0.6806550336016027,0,0.438916502344134,0.32700892857142855,0.34382244176065163,0.30005263783471725,180,0.15555555555555556,0.4722222222222222,1.4440652256351916,3.0357142857142856,0.31666666666666665
qwen,vilp,semantic_entropy,correct,confidence=-UQ,896,603,0.6729910714285714,0.6500263189173586,0.6170548447097255,0.6845264908432603,0,0.7726622882904457,0.6729910714285714,0.27277177238459654,0.30005263783471725,180,0.5277777777777778,0.7833333333333333,1.1639579878385848,1.4842105263157894,0.25555555555555554
qwen,vilp,semantic_entropy,hallucination,risk=UQ,896,179,0.19977678571428573,0.5935968459518633,0.5516494017545626,0.6378274568848041,0,0.24839143630663163,0.19977678571428573,0.22428715971503882,0.1871936919037267,180,0.13333333333333333,0.2833333333333333,1.4182495344506516,2.125,0.15
qwen,vilp,semantic_entropy,hallucination_given_error,risk=UQ,293,134,0.45733788395904434,0.5315404111517882,0.4628015367667075,0.5997009181545535,0,0.47823122813166685,0.45733788395904434,0.05659173260523104,0.06308082230357637,59,0.4406779661016949,0.5084745762711864,1.1118138122944599,1.1538461538461537,0.06779661016949151
qwen,vilp,umpire,error,risk=UQ,896,293,0.32700892857142855,0.6535581478274158,0.6163617138250828,0.6873529226003068,0,0.4437002513243661,0.32700892857142855,0.40413442873528727,0.3071162956548317,180,0.15,0.5,1.52901023890785,3.3333333333333335,0.35
qwen,vilp,umpire,correct,confidence=-UQ,896,603,0.6729910714285714,0.6535581478274158,0.6220070852672248,0.6929464012462196,0,0.7936871488225846,0.6729910714285714,0.2609643632003239,0.3071162956548317,180,0.5,0.85,1.2630182421227198,1.7,0.35
qwen,vilp,umpire,hallucination,risk=UQ,896,179,0.19977678571428573,0.5693025720140561,0.5245018212204725,0.6109687853544099,0,0.2309556140752618,0.19977678571428573,0.2393132926148675,0.1386051440281122,180,0.12222222222222222,0.24444444444444444,1.2235878336436994,2.0,0.12222222222222222
qwen,vilp,umpire,hallucination_given_error,risk=UQ,293,134,0.45733788395904434,0.41819205857504926,0.3584868020446768,0.4866099251722781,0,0.40533068154062546,0.45733788395904434,-0.20544904850122034,-0.16361588284990147,59,0.576271186440678,0.3559322033898305,0.778269668606122,0.6176470588235294,-0.22033898305084748
qwen,hallusionbench,perplexity,error,risk=UQ,1113,465,0.41778975741239893,0.6255824372759856,0.595679353018375,0.6551046529720186,0,0.5134822443085378,0.41778975741239893,0.2984639055815797,0.25116487455197123,223,0.2825112107623318,0.5515695067264574,1.3202083031968754,1.9523809523809526,0.2690582959641256
qwen,hallusionbench,perplexity,correct,confidence=-UQ,1113,648,0.5822102425876011,0.6255824372759856,0.5920022712773799,0.6587551331760557,0,0.6878506549692667,0.5822102425876011,0.22555592879724284,0.25116487455197123,223,0.4484304932735426,0.7174887892376681,1.2323534296628464,1.5999999999999999,0.2690582959641255
qwen,hallusionbench,perplexity,hallucination,risk=UQ,1113,519,0.46630727762803237,0.550592631517487,0.5170805279555294,0.5901319412945871,0,0.5004500211000542,0.46630727762803237,0.12866965404437494,0.1011852630349741,223,0.40358744394618834,0.515695067264574,1.105912543093393,1.277777777777778,0.1121076233183857
qwen,hallusionbench,perplexity,hallucination_given_error,risk=UQ,465,367,0.789247311827957,0.4258744369682478,0.3637559360651132,0.48812296212170125,0,0.750254988930999,0.789247311827957,-0.07606248643596523,-0.14825112606350443,93,0.8279569892473119,0.7204301075268817,0.9128065395095367,0.8701298701298701,-0.10752688172043012
qwen,hallusionbench,semantic_entropy,error,risk=UQ,1113,465,0.41778975741239893,0.6259441789459711,0.5904617359582627,0.6569066571630949,0,0.5263291368253943,0.41778975741239893,0.26759458782562584,0.2518883578919422,223,0.3004484304932735,0.5739910313901345,1.3738753073918704,1.91044776119403,0.273542600896861
qwen,hallusionbench,semantic_entropy,correct,confidence=-UQ,1113,648,0.5822102425876011,0.6259441789459711,0.5919235489902814,0.6609743149982037,0,0.6742618640289776,0.5822102425876011,0.2730936111477308,0.2518883578919422,223,0.4260089686098655,0.7443946188340808,1.2785666832752034,1.7473684210526317,0.3183856502242153
qwen,hallusionbench,semantic_entropy,hallucination,risk=UQ,1113,519,0.46630727762803237,0.5941187728278287,0.5607335040864904,0.6278424569167466,0,0.5446281508701935,0.46630727762803237,0.19039602003241687,0.1882375456556573,223,0.37668161434977576,0.5919282511210763,1.2693952668550248,1.5714285714285716,0.21524663677130051
qwen,hallusionbench,semantic_entropy,hallucination_given_error,risk=UQ,465,367,0.789247311827957,0.5019462826002336,0.4346756801113225,0.5748851897766994,0,0.7993540119009064,0.789247311827957,-0.0187469645285629,0.003892565200467102,93,0.7741935483870968,0.8172043010752689,1.0354223433242506,1.0555555555555556,0.043010752688172116
qwen,hallusionbench,umpire,error,risk=UQ,1113,465,0.41778975741239893,0.5742466480817735,0.5405592094632007,0.6095860076010875,0,0.4681330565492334,0.41778975741239893,0.259408289103143,0.148493296163547,223,0.242152466367713,0.45739910313901344,1.0948068855778967,1.8888888888888888,0.21524663677130043
qwen,hallusionbench,umpire,correct,confidence=-UQ,1113,648,0.5822102425876011,0.5742466480817735,0.5407567199038252,0.6059482242537555,0,0.6769947321238717,0.5822102425876011,0.12181349520760922,0.148493296163547,223,0.5426008968609866,0.757847533632287,1.3016733100813818,1.396694214876033,0.2152466367713004
qwen,hallusionbench,umpire,hallucination,risk=UQ,1113,519,0.46630727762803237,0.550998099167656,0.507862543341038,0.586432078376008,0,0.49242480609711264,0.46630727762803237,0.17782848027700732,0.10199619833531193,223,0.3094170403587444,0.49327354260089684,1.0578293890458539,1.5942028985507246,0.18385650224215244
qwen,hallusionbench,umpire,hallucination_given_error,risk=UQ,465,367,0.789247311827957,0.4254573764110549,0.3527303290268118,0.4947550935576732,0,0.7555251442763402,0.789247311827957,-0.12335595602804074,-0.14908524717789018,93,0.8387096774193549,0.7311827956989247,0.9264305177111716,0.8717948717948718,-0.10752688172043012
qwen,mmvet,perplexity,error,risk=UQ,213,111,0.5211267605633803,0.7243419890478714,0.6590401187727388,0.7882195575309145,0,0.742828132195645,0.5211267605633803,0.45718019918537983,0.4486839780957428,43,0.23255813953488372,0.813953488372093,1.5619107479572596,3.5,0.5813953488372093
qwen,mmvet,perplexity,correct,confidence=-UQ,213,102,0.4788732394366197,0.7243419890478714,0.6587319817528151,0.7899145924010803,0,0.6838315156256547,0.4788732394366197,0.5186696064653894,0.4486839780957428,43,0.18604651162790697,0.7674418604651163,1.6025991792065666,4.125,0.5813953488372093
qwen,mmvet,perplexity,hallucination,risk=UQ,213,66,0.30985915492957744,0.49278499278499277,0.4158398384294529,0.5766929649167587,0,0.2985780380656605,0.30985915492957744,0.02867906996718112,-0.01443001443001446,43,0.27906976744186046,0.2558139534883721,0.8255813953488373,0.9166666666666667,-0.023255813953488358
qwen,mmvet,perplexity,hallucination_given_error,risk=UQ,111,49,0.44144144144144143,0.38512179065174457,0.28978291620863905,0.504442381870781,0,0.37136831408767695,0.44144144144144143,-0.2524898318940441,-0.22975641869651087,23,0.6521739130434783,0.2608695652173913,0.59094942324756,0.39999999999999997,-0.391304347826087
qwen,mmvet,semantic_entropy,error,risk=UQ,213,111,0.5211267605633803,0.7870075958311252,0.7268934050432023,0.8502313324468056,0,0.7871252604855332,0.5211267605633803,0.5827466273391794,0.5740151916622505,43,0.18604651162790697,0.8604651162790697,1.6511627906976745,4.625,0.6744186046511628
qwen,mmvet,semantic_entropy,correct,confidence=-UQ,213,102,0.4788732394366197,0.7870075958311252,0.7248279759261165,0.843544027804495,0,0.7421403617064948,0.4788732394366197,0.611376015207234,0.5740151916622505,43,0.13953488372093023,0.813953488372093,1.6997264021887826,5.833333333333333,0.6744186046511628
qwen,mmvet,semantic_entropy,hallucination,risk=UQ,213,66,0.30985915492957744,0.5687487116058545,0.48573096160299434,0.6504956761796298,0,0.3703569967932909,0.30985915492957744,0.1735006365255327,0.137497423211709,43,0.27906976744186046,0.32558139534883723,1.050739957716702,1.1666666666666667,0.04651162790697677
qwen,mmvet,semantic_entropy,hallucination_given_error,risk=UQ,111,49,0.44144144144144143,0.45918367346938777,0.35918286403708766,0.5687627087872186,0,0.4579151111875544,0.44144144144144143,-0.09377644464625685,-0.08163265306122447,23,0.43478260869565216,0.391304347826087,0.8864241348713399,0.9,-0.04347826086956519
qwen,mmvet,umpire,error,risk=UQ,213,111,0.5211267605633803,0.8020667726550079,0.7388272413960487,0.8588647993546703,0,0.78838739182078,0.5211267605633803,0.6665782239597393,0.6041335453100158,43,0.16279069767441862,0.8604651162790697,1.6511627906976745,5.285714285714286,0.6976744186046511
qwen,mmvet,umpire,correct,confidence=-UQ,213,102,0.4788732394366197,0.8020667726550079,0.7432095991267187,0.8564325799338198,0,0.7964975865941513,0.4788732394366197,0.6170256209110215,0.6041335453100158,43,0.13953488372093023,0.8372093023255814,1.7482900136798907,6.0,0.6976744186046512
qwen,mmvet,umpire,hallucination,risk=UQ,213,66,0.30985915492957744,0.4994846423417852,0.411313216543448,0.5807461608294077,0,0.294423124589448,0.30985915492957744,0.0683639767316589,-0.0010307153164296201,43,0.3023255813953488,0.20930232558139536,0.6754756871035942,0.6923076923076924,-0.09302325581395346
qwen,mmvet,umpire,hallucination_given_error,risk=UQ,111,49,0.44144144144144143,0.3183015141540487,0.2144641663052122,0.41899410041178337,0,0.3396039682679383,0.44144144144144143,-0.4808683998061891,-0.36339697169190255,23,0.6521739130434783,0.21739130434782608,0.49245785270629994,0.3333333333333333,-0.4347826086956522
internvl,vilp,perplexity,error,risk=UQ,898,328,0.36525612472160357,0.6129546427043218,0.5785073567554313,0.6454735913518067,0,0.46738396959706935,0.36525612472160357,0.275865419696346,0.22590928540864352,180,0.2111111111111111,0.4444444444444444,1.21680216802168,2.1052631578947367,0.2333333333333333
internvl,vilp,perplexity,correct,confidence=-UQ,898,570,0.6347438752783965,0.6129546427043218,0.5813474214086154,0.6506045490163397,0,0.7231279354075967,0.6347438752783965,0.22591834738322797,0.22590928540864352,180,0.5555555555555556,0.7888888888888889,1.2428460038986353,1.42,0.23333333333333328
internvl,vilp,perplexity,hallucination,risk=UQ,898,248,0.27616926503340755,0.5429652605459057,0.502953654011575,0.5857616516547606,0,0.301910835393557,0.27616926503340755,0.12393611573837475,0.08593052109181132,180,0.21666666666666667,0.2833333333333333,1.0259408602150537,1.3076923076923077,0.06666666666666665
internvl,vilp,perplexity,hallucination_given_error,risk=UQ,328,193,0.5884146341463414,0.4179236231049703,0.3447361065377825,0.4801144731918703,0,0.5319582982293943,0.5884146341463414,-0.15599900505506442,-0.16415275379005945,66,0.7272727272727273,0.4393939393939394,0.746742031716125,0.6041666666666666,-0.2878787878787879
internvl,vilp,semantic_entropy,error,risk=UQ,898,328,0.36525612472160357,0.6680947796320068,0.6357534924375066,0.7014744979758567,0,0.520556308434116,0.36525612472160357,0.3484573768043334,0.3361895592640136,180,0.16666666666666666,0.5888888888888889,1.6122628726287263,3.5333333333333337,0.4222222222222223
internvl,vilp,semantic_entropy,correct,confidence=-UQ,898,570,0.6347438752783965,0.6680947796320068,0.6351424382077056,0.7004226555834423,0,0.7448773930578664,0.6347438752783965,0.35394213855690176,0.3361895592640136,180,0.4111111111111111,0.75,1.181578947368421,1.8243243243243243,0.3388888888888889
internvl,vilp,semantic_entropy,hallucination,risk=UQ,898,248,0.27616926503340755,0.6276302729528536,0.5933343794804666,0.6655143781744142,0,0.3798071496624389,0.27616926503340755,0.2878900352096812,0.2552605459057071,180,0.15,0.42777777777777776,1.5489695340501792,2.8518518518518516,0.2777777777777778
internvl,vilp,semantic_entropy,hallucination_given_error,risk=UQ,328,193,0.5884146341463414,0.5348685473037804,0.4737904788607,0.6006281493076668,0,0.6298315903631135,0.5884146341463414,0.03636235785548271,0.06973709460756083,66,0.6060606060606061,0.6818181818181818,1.1587376354215733,1.1249999999999998,0.07575757575757569
internvl,vilp,umpire,error,risk=UQ,898,328,0.36525612472160357,0.6215661103979461,0.589277145311073,0.6532710949563143,0,0.4592577728170076,0.36525612472160357,0.34531155916593675,0.24313222079589214,180,0.17777777777777778,0.48333333333333334,1.3232723577235772,2.71875,0.3055555555555556
internvl,vilp,umpire,correct,confidence=-UQ,898,570,0.6347438752783965,0.6215661103979461,0.587882762518696,0.6548160989581766,0,0.747762121945425,0.6347438752783965,0.2166224745491335,0.24313222079589214,180,0.5166666666666667,0.8222222222222222,1.2953606237816762,1.5913978494623653,0.30555555555555547
internvl,vilp,umpire,hallucination,risk=UQ,898,248,0.27616926503340755,0.5683746898263027,0.5264071616256558,0.6075939738834475,0,0.30689485634464614,0.27616926503340755,0.24868295173764407,0.13674937965260536,180,0.15,0.31666666666666665,1.1466397849462366,2.111111111111111,0.16666666666666666
internvl,vilp,umpire,hallucination_given_error,risk=UQ,328,193,0.5884146341463414,0.4295144885818461,0.35669814072697786,0.500393100895072,0,0.5352686493163202,0.5884146341463414,-0.11460015694939242,-0.1409710228363078,66,0.6515151515151515,0.48484848484848486,0.8239912074108966,0.744186046511628,-0.16666666666666663
internvl,hallusionbench,perplexity,error,risk=UQ,1122,438,0.39037433155080214,0.6493481134342706,0.6200084322870669,0.6799884853615054,0,0.5025232363540904,0.39037433155080214,0.41604576914905184,0.29869622686854114,225,0.17333333333333334,0.49333333333333335,1.263744292237443,2.8461538461538463,0.32
internvl,hallusionbench,perplexity,correct,confidence=-UQ,1122,684,0.6096256684491979,0.6493481134342706,0.6162345082744887,0.6804925493876124,0,0.7565885591393374,0.6096256684491979,0.2580697271273759,0.29869622686854114,225,0.5066666666666667,0.8266666666666667,1.3560233918128655,1.6315789473684208,0.31999999999999995
internvl,hallusionbench,perplexity,hallucination,risk=UQ,1122,498,0.44385026737967914,0.6003983884254969,0.5664034855280193,0.6379927177448796,0,0.523135539448219,0.44385026737967914,0.2955862079968719,0.20079677685099373,225,0.27111111111111114,0.5288888888888889,1.1915930388219544,1.9508196721311473,0.2577777777777777
internvl,hallusionbench,perplexity,hallucination_given_error,risk=UQ,438,354,0.8082191780821918,0.4442594834543987,0.3657397740270081,0.5210491282220058,0,0.7747220601259517,0.8082191780821918,-0.04929096517062501,-0.11148103309120261,88,0.8181818181818182,0.7840909090909091,0.970146379044684,0.9583333333333333,-0.03409090909090917
internvl,hallusionbench,semantic_entropy,error,risk=UQ,1122,438,0.39037433155080214,0.680517170017891,0.6494307133978526,0.7142144709329967,0,0.5491820125600365,0.39037433155080214,0.3933374874254207,0.36103434003578205,225,0.24888888888888888,0.6133333333333333,1.5711415525114154,2.464285714285714,0.3644444444444444
internvl,hallusionbench,semantic_entropy,correct,confidence=-UQ,1122,684,0.6096256684491979,0.680517170017891,0.6475322181344227,0.7104900805197516,0,0.7429095407766835,0.6096256684491979,0.3676619133154667,0.36103434003578205,225,0.38666666666666666,0.8355555555555556,1.3706042884990255,2.160919540229885,0.44888888888888895
